,Diagnoses,Count
0,Unspecified essential hypertension,68
1,"Hyperlipidemia, unspecified",57
2,"Acute kidney failure, unspecified",56
3,Other and unspecified hyperlipidemia,55
4,"Hypothyroidism, unspecified",47
5,"Obesity, unspecified",43
6,"Anemia, unspecified",41
7,Long term (current) use of insulin,37
8,"Urinary tract infection, site not specified",36
9,Personal history of nicotine dependence,35
10,Atrial fibrillation,34
11,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",33
12,Atherosclerotic heart disease of native coronary artery without angina pectoris,33
13,Essential (primary) hypertension,32
14,"Major depressive disorder, single episode, unspecified",32
15,Personal history of tobacco use,31
16,"Depressive disorder, not elsewhere classified",30
17,"Gout, unspecified",29
18,Coronary atherosclerosis of native coronary artery,28
19,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",27
20,"Thrombocytopenia, unspecified",26
21,Type 2 diabetes mellitus without complications,26
22,"Anxiety disorder, unspecified",26
23,Pure hypercholesterolemia,25
24,Long-term (current) use of anticoagulants,25
25,Long-term (current) use of insulin,25
26,Acidosis,25
27,Acute posthemorrhagic anemia,25
28,"Congestive heart failure, unspecified",25
29,Tobacco use disorder,24
30,Presence of coronary angioplasty implant and graft,24
31,Unspecified atrial fibrillation,23
32,"Chronic kidney disease, unspecified",22
33,Esophageal reflux,22
34,Other chronic pain,21
35,"Chronic obstructive pulmonary disease, unspecified",21
36,"Nicotine dependence, cigarettes, uncomplicated",21
37,Long term (current) use of anticoagulants,21
38,Personal history of malignant neoplasm of breast,20
39,Chronic lymphocytic leukemia of B-cell type not having achieved remission,19
40,Obstructive sleep apnea (adult) (pediatric),19
41,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",19
42,Long term (current) use of antithrombotics/antiplatelets,19
43,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",18
44,Type 2 diabetes mellitus with diabetic chronic kidney disease,17
45,Old myocardial infarction,17
46,Gastro-esophageal reflux disease without esophagitis,17
47,Hyposmolality and/or hyponatremia,17
48,Bariatric surgery status,16
49,Do not resuscitate,16
50,"Hypotension, unspecified",16
51,"Chronic kidney disease, Stage III (moderate)",16
52,Accidents occurring in residential institution,15
53,Paroxysmal atrial fibrillation,15
54,"Retention of urine, unspecified",15
55,Hypo-osmolality and hyponatremia,15
56,Long-term (current) use of aspirin,15
57,Unspecified acquired hypothyroidism,14
58,Acute respiratory failure,14
59,"Iron deficiency anemia, unspecified",14
60,End stage renal disease,14
61,Percutaneous transluminal coronary angioplasty status,14
62,Presence of cardiac pacemaker,13
63,"Chronic kidney disease, stage 3 (moderate)",13
64,Encounter for palliative care,13
65,"Asthma, unspecified type, unspecified",13
66,Portal hypertension,12
67,"Insomnia, unspecified",12
68,Patient room in hospital as the place of occurrence of the external cause,12
69,"Anxiety state, unspecified",12
70,Asymptomatic human immunodeficiency virus [HIV] infection status,12
71,Examination of participant in clinical trial,12
72,Hypertensive heart disease with heart failure,12
73,"Alcohol abuse, unspecified",12
74,Other ascites,12
75,Hypoxemia,12
76,Unspecified viral hepatitis C without hepatic coma,11
77,"Encephalopathy, unspecified",11
78,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",11
79,Dependence on renal dialysis,11
80,Acute respiratory failure with hypoxia,11
81,Personal history of other venous thrombosis and embolism,11
82,"Unspecified asthma, uncomplicated",11
83,Mitral valve disorders,11
84,Other secondary pulmonary hypertension,11
85,Type 2 diabetes mellitus with diabetic polyneuropathy,11
86,Do not resuscitate status,10
87,Personal history of antineoplastic chemotherapy,10
88,Anemia in chronic kidney disease,10
89,Hyperkalemia,10
90,Type 2 diabetes mellitus with hyperglycemia,9
91,Unspecified severe protein-calorie malnutrition,9
92,"Chronic airway obstruction, not elsewhere classified",9
93,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",9
94,Personal history of malignant neoplasm of prostate,9
95,Neoplasm related pain (acute) (chronic),9
96,"Schizoaffective disorder, unspecified",9
97,Unspecified place or not applicable,9
98,Chronic diastolic (congestive) heart failure,9
99,Personal history of traumatic brain injury,9
100,Hyperpotassemia,9
101,Non-ST elevation (NSTEMI) myocardial infarction,9
102,Dehydration,9
103,Hyperosmolality and/or hypernatremia,9
104,Abnormal coagulation profile,9
105,Acute kidney failure with lesion of tubular necrosis,8
106,"Pneumonia, organism unspecified",8
107,Unspecified protein-calorie malnutrition,8
108,"Peripheral vascular disease, unspecified",8
109,Severe sepsis,8
110,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease,8
111,Type 2 diabetes mellitus with foot ulcer,8
112,Ventilator associated pneumonia,8
113,Other secondary thrombocytopenia,8
114,"Tachycardia, unspecified",7
115,"Pneumonia, unspecified organism",7
116,"Leukocytosis, unspecified",7
117,Nonrheumatic mitral (valve) insufficiency,7
118,Personal history of malignant neoplasm of testis,7
119,Pulmonary collapse,7
120,Morbid (severe) obesity due to excess calories,7
121,Intestinal infection due to Clostridium difficile,7
122,Hypopotassemia,7
123,Physical restraint status,7
124,Alcoholic cirrhosis of liver with ascites,7
125,"Sepsis, unspecified organism",7
126,Severe sepsis with septic shock,7
127,"Epilepsy, unspecified, not intractable, without status epilepticus",7
128,Other and unspecified Escherichia coli [E. coli],7
129,Family history of ischemic heart disease and other diseases of the circulatory system,7
130,Unspecified glaucoma,7
131,Personal history of malignant neoplasm of tongue,7
132,Hypovolemia,7
133,Type 2 diabetes mellitus with hypoglycemia without coma,7
134,"Multiple myeloma, without mention of having achieved remission",7
135,Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH],7
136,Home accidents,7
137,"Constipation, unspecified",7
138,"Dysphagia, unspecified",7
139,"Other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",7
140,Cardiogenic shock,7
141,"Personal history of noncompliance with medical treatment, presenting hazards to health",7
142,Unspecified place in hospital as the place of occurrence of the external cause,7
143,Acute on chronic systolic (congestive) heart failure,7
144,Acute pancreatitis,6
145,"Chronic kidney disease, stage 4 (severe)",6
146,Paralytic ileus,6
147,Diarrhea,6
148,Ulcer of other part of foot,6
149,Obstructive sleep apnea (adult)(pediatric),6
150,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",6
151,Anemia of other chronic disease,6
152,"Coagulation defect, unspecified",6
153,Tobacco use,6
154,Secondary esophageal varices without bleeding,6
155,Nonalcoholic steatohepatitis (NASH),6
156,Acute on chronic diastolic (congestive) heart failure,6
157,Unspecified fall,6
158,Alkalosis,6
159,"Pure hypercholesterolemia, unspecified",6
160,Personal history of pulmonary embolism,6
161,Unspecified pleural effusion,6
162,Delirium due to conditions classified elsewhere,6
163,Acute kidney failure with tubular necrosis,6
164,Physical restraints status,6
165,Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH],6
166,Aortic valve disorders,6
167,Atelectasis,6
168,Personal history of other malignant neoplasm of skin,6
169,"Body Mass Index 32.0-32.9, adult",5
170,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",5
171,Other primary cardiomyopathies,5
172,Presence of aortocoronary bypass graft,5
173,Suicidal ideation,5
174,Sicca syndrome,5
175,"Pleural effusion, not elsewhere classified",5
176,Long term (current) use of aspirin,5
177,Chronic systolic (congestive) heart failure,5
178,Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side,5
179,"Acute myeloid leukemia, without mention of having achieved remission",5
180,Encounter for immunization,5
181,Pneumonitis due to inhalation of food and vomit,5
182,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere,5
183,Pneumonitis due to inhalation of food or vomitus,5
184,Sepsis,5
185,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus",5
186,Other disorders of phosphorus metabolism,5
187,Paroxysmal ventricular tachycardia,5
188,Cerebral edema,5
189,Other postoperative infection,5
190,Cyst and pseudocyst of pancreas,5
191,Anemia in neoplastic disease,5
192,Colostomy status,5
193,"Backache, unspecified",5
194,Toxic encephalopathy,5
195,"Hematuria, unspecified",5
196,"Urinary incontinence, unspecified",5
197,Diverticulosis of colon (without mention of hemorrhage),5
198,Cirrhosis of liver without mention of alcohol,5
199,Other chronic pulmonary heart diseases,5
200,Anemia in other chronic diseases classified elsewhere,5
201,Septic shock,5
202,Acute on chronic diastolic heart failure,5
203,"Cerebral aneurysm, nonruptured",5
204,"Personal history of irradiation, presenting hazards to health",5
205,Other specified bacterial agents as the cause of diseases classified elsewhere,5
206,"Heart failure, unspecified",5
207,Cachexia,5
208,Unspecified mood [affective] disorder,5
209,Barrett's esophagus without dysplasia,4
210,Palpitations,4
211,Other pancytopenia,4
212,Personal history of peptic ulcer disease,4
213,"Osteoporosis, unspecified",4
214,Peritoneal abscess,4
215,Acquired absence of intestine (large) (small),4
216,Amyotrophic lateral sclerosis,4
217,Gastrostomy status,4
218,Hepatorenal syndrome,4
219,Acute on chronic systolic heart failure,4
220,Dependence on respirator [ventilator] status,4
221,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",4
222,"Other and unspecified alcohol dependence, unspecified",4
223,Orthostatic hypotension,4
224,"Disease of pericardium, unspecified",4
225,Acquired absence of other right toe(s),4
226,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled",4
227,Personal history of Methicillin resistant Staphylococcus aureus,4
228,Loss of weight,4
229,"Alcohol dependence, uncomplicated",4
230,History of falling,4
231,"Disorientation, unspecified",4
232,"Body mass index (BMI) 40.0-44.9, adult",4
233,Tumor lysis syndrome,4
234,"Unspecified fall, initial encounter",4
235,Bacteremia,4
236,"Alcohol abuse, in remission",4
237,Homelessness,4
238,Chronic pulmonary edema,4
239,Other iatrogenic hypotension,4
240,Other fluid overload,4
241,Unspecified atrial flutter,4
242,Other specified cardiac dysrhythmias,4
243,"Adverse effect of anticoagulants, initial encounter",4
244,Hypokalemia,4
245,Aphasia,4
246,Alcoholic cirrhosis of liver without ascites,4
247,Cellulitis and abscess of trunk,4
248,Hyperuricemia without signs of inflammatory arthritis and tophaceous disease,4
249,"Myelodysplastic syndrome, unspecified",4
250,Atherosclerosis of renal artery,4
251,"Coronary atherosclerosis of unspecified type of vessel, native or graft",4
252,"Cocaine abuse, unspecified",4
253,Delirium due to known physiological condition,4
254,Other nonspecific findings on examination of urine,4
255,Human immunodeficiency virus [HIV] disease,3
256,Cardiac pacemaker in situ,3
257,Metabolic encephalopathy,3
258,Other place in hospital as the place of occurrence of the external cause,3
259,"Major depressive disorder, single episode, severe with psychotic features",3
260,"Nephropathy induced by other drugs, medicaments and biological substances",3
261,Abnormal levels of other serum enzymes,3
262,Encounter for antineoplastic chemotherapy,3
263,"Fever, unspecified",3
264,"Respiratory failure, unspecified with hypoxia",3
265,Alcoholic hepatitis without ascites,3
266,"Other dependence on machines, supplemental oxygen",3
267,"Body mass index (BMI) 30.0-30.9, adult",3
268,"Accidental puncture or laceration during a procedure, not elsewhere classified",3
269,Barrett's esophagus,3
270,Anuria and oliguria,3
271,Localized edema,3
272,Unspecified psychosis,3
273,Fever presenting with conditions classified elsewhere,3
274,"Bipolar disorder, unspecified",3
275,"Malignant neoplasm of tongue, unspecified",3
276,"Nutritional anemia, unspecified",3
277,Chronic passive congestion of liver,3
278,Cellulitis of left lower limb,3
279,Syncope and collapse,3
280,Nontoxic multinodular goiter,3
281,"Neuromuscular dysfunction of bladder, unspecified",3
282,Irritable bowel syndrome,3
283,Acquired absence of breast and nipple,3
284,"Body mass index (BMI) 32.0-32.9, adult",3
285,"Nicotine dependence, unspecified, uncomplicated",3
286,Aspergillosis,3
287,Stem cells transplant status,3
288,Personal history of other malignant neoplasm of kidney,3
289,Paranoid schizophrenia,3
290,"Osteoarthrosis, unspecified whether generalized or localized, lower leg",3
291,"Body mass index (BMI) 29.0-29.9, adult",3
292,Infarction of spleen,3
293,"Splenomegaly, not elsewhere classified",3
294,"Malignant neoplasm of anus, unspecified site",3
295,Anticoagulants causing adverse effects in therapeutic use,3
296,"Altered mental status, unspecified",3
297,Other drugs and medicinal substances causing adverse effects in therapeutic use,3
298,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",3
299,"Body mass index (BMI) 33.0-33.9, adult",3
300,Attention deficit disorder with hyperactivity,3
301,Other convulsions,3
302,"Intestinal infection due to other organism, not elsewhere classified",3
303,Other postprocedural status,3
304,"Other, mixed, or unspecified drug abuse, unspecified",3
305,Alcohol withdrawal,3
306,"Alcohol abuse with intoxication, unspecified",3
307,"Unspecified injury of head, initial encounter",3
308,"Subendocardial infarction, initial episode of care",3
309,Unspecified hereditary and idiopathic peripheral neuropathy,3
310,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,3
311,"Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified",3
312,Alcoholic cirrhosis of liver,3
313,"Body mass index (BMI) 35.0-35.9, adult",3
314,"Arthropathy, unspecified, site unspecified",3
315,Other constipation,3
316,Other chest pain,3
317,Intracerebral hemorrhage,3
318,Unspecified septicemia,3
319,"Body mass index (BMI) 37.0-37.9, adult",3
320,Candidiasis of mouth,3
321,Hemorrhage complicating a procedure,3
322,Presence of automatic (implantable) cardiac defibrillator,3
323,Hyperosmolality and hypernatremia,3
324,Chronic total occlusion of coronary artery,3
325,Encounter for adjustment and management of other part of cardiac pacemaker,3
326,Other forms of acute ischemic heart disease,3
327,Street and highway accidents,3
328,"Acute edema of lung, unspecified",3
329,"Hepatic failure, unspecified without coma",3
330,"Alcohol dependence with withdrawal, unspecified",3
331,"Infection following a procedure, initial encounter",3
332,Pain in left shoulder,3
333,Chronic hepatitis C without mention of hepatic coma,3
334,Altered mental status,3
335,Compression of vein,3
336,Other streptococcus as the cause of diseases classified elsewhere,3
337,"Cellulitis and abscess of foot, except toes",3
338,Abscess of liver,3
339,Peritoneal adhesions (postoperative) (postinfection),3
340,Severe sepsis without septic shock,3
341,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",3
342,Type 2 diabetes mellitus with diabetic cataract,3
343,Headache,3
344,"Diarrhea, unspecified",3
345,Type 2 diabetes mellitus with diabetic nephropathy,3
346,"Alcohol dependence, in remission",3
347,Nausea with vomiting,3
348,Arthrodesis status,3
349,Polyneuropathy in diabetes,3
350,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side",3
351,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,3
352,Personal history of malignant neoplasm of other parts of uterus,3
353,"Adverse effect of antineoplastic and immunosuppressive drugs, initial encounter",3
354,Sick sinus syndrome,3
355,Family history of ischemic heart disease,3
356,Need for prophylactic vaccination and inoculation against influenza,3
357,"Dysphagia, oropharyngeal phase",3
358,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",3
359,Encounter for examination for normal comparison and control in clinical research program,3
360,Disorders of magnesium metabolism,3
361,Hypovolemic shock,3
362,"Alcohol abuse, uncomplicated",3
363,Disorders of phosphorus metabolism,3
364,"Cardiac complications, not elsewhere classified",3
365,"Hemorrhage of gastrointestinal tract, unspecified",3
366,Personal history of colonic polyps,3
367,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage",3
368,Septicemia due to escherichia coli [E. coli],3
369,Acute and subacute necrosis of liver,3
370,Blood in stool,3
